Age,Monthly_Income,Investment_Experience,Risk_Tolerance,Investment_Horizon,Financial_Goal,Loss_Reaction,Risk_Profile
47,200000,16,3,176,wealth,buy-more,Aggressive
46,5000,18,2,117,emergency,panic-sell,Conservative
57,5000,16,1,254,emergency,panic-sell,Conservative
59,10000,9,3,176,retirement,buy-more,Conservative
45,10000,5,1,206,education,panic-sell,Conservative
33,200000,8,1,73,education,panic-sell,Moderate
40,200000,14,2,258,wealth,hold,Conservative
45,10000,5,1,206,education,panic-sell,Conservative
58,35000,24,3,252,wealth,hold,Aggressive
37,75000,2,4,147,wealth,buy-more,Aggressive
57,200000,13,3,332,wealth,hold,Aggressive
61,10000,3,2,353,education,buy-more,Moderate
35,200000,6,4,152,retirement,buy-more,Aggressive
39,75000,28,2,104,education,panic-sell,Conservative
56,200000,19,3,49,wealth,hold,Aggressive
60,75000,3,1,137,education,panic-sell,Conservative
43,75000,23,1,13,emergency,panic-sell,Conservative
43,5000,27,4,101,wealth,hold,Aggressive
30,5000,15,3,231,wealth,buy-more,Aggressive
51,75000,18,5,23,education,buy-more,Moderate
41,75000,24,5,296,education,buy-more,Aggressive
51,200000,8,4,159,wealth,hold,Aggressive
23,50000,8,1,101,retirement,panic-sell,Conservative
63,200000,21,5,323,wealth,buy-more,Aggressive
46,75000,20,1,113,wealth,panic-sell,Moderate
48,20000,13,3,34,emergency,panic-sell,Conservative
30,20000,21,4,280,retirement,buy-more,Aggressive
61,35000,15,4,213,wealth,hold,Aggressive
52,150000,16,3,35,retirement,buy-more,Moderate
57,20000,21,3,176,retirement,hold,Moderate
32,100000,7,5,92,wealth,panic-sell,Aggressive
49,20000,16,3,160,education,buy-more,Moderate
44,100000,23,3,64,emergency,panic-sell,Moderate
38,75000,27,5,185,emergency,hold,Aggressive
26,150000,21,3,185,education,buy-more,Aggressive
26,35000,26,5,276,retirement,hold,Conservative
49,75000,12,4,288,education,hold,Moderate
29,20000,3,1,202,emergency,panic-sell,Conservative
22,100000,28,1,213,wealth,buy-more,Aggressive
23,100000,5,1,161,wealth,buy-more,Aggressive
45,5000,3,1,154,education,hold,Moderate
59,50000,9,1,193,emergency,panic-sell,Conservative
27,150000,9,1,252,education,buy-more,Moderate
62,50000,12,2,289,wealth,panic-sell,Moderate
64,200000,1,2,16,emergency,buy-more,Moderate
62,200000,25,3,73,education,buy-more,Moderate
48,150000,0,1,278,emergency,panic-sell,Conservative
26,150000,12,3,137,retirement,panic-sell,Aggressive
36,100000,9,3,348,emergency,hold,Moderate
49,150000,15,4,195,retirement,panic-sell,Conservative
44,75000,10,1,100,emergency,panic-sell,Conservative
36,35000,21,5,222,wealth,buy-more,Aggressive
55,200000,10,3,65,retirement,buy-more,Conservative
53,5000,28,5,170,education,hold,Moderate
44,5000,4,1,116,emergency,panic-sell,Conservative
24,5000,14,3,283,education,buy-more,Aggressive
61,35000,25,4,249,emergency,hold,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
38,75000,27,5,185,emergency,hold,Aggressive
24,5000,14,3,283,education,buy-more,Aggressive
55,100000,26,1,193,education,buy-more,Conservative
56,75000,14,4,155,wealth,hold,Aggressive
56,10000,27,4,189,wealth,buy-more,Aggressive
61,35000,25,4,249,emergency,hold,Conservative
37,75000,2,4,147,wealth,buy-more,Aggressive
40,200000,14,2,258,wealth,hold,Conservative
34,100000,4,3,59,wealth,buy-more,Aggressive
55,100000,26,1,193,education,buy-more,Conservative
51,50000,29,3,167,wealth,buy-more,Aggressive
44,50000,8,1,73,emergency,buy-more,Moderate
40,75000,19,3,111,emergency,buy-more,Moderate
43,75000,23,1,13,emergency,panic-sell,Conservative
24,20000,7,1,30,education,panic-sell,Conservative
51,50000,29,3,167,wealth,buy-more,Aggressive
22,5000,26,5,251,emergency,hold,Conservative
23,50000,21,4,205,wealth,hold,Aggressive
56,75000,7,3,251,education,buy-more,Moderate
35,10000,1,1,296,education,hold,Moderate
38,35000,17,3,230,education,buy-more,Conservative
43,75000,28,2,101,education,panic-sell,Moderate
50,5000,23,3,146,retirement,hold,Moderate
33,150000,20,5,303,wealth,hold,Aggressive
61,35000,25,4,249,emergency,hold,Conservative
53,200000,18,1,217,education,buy-more,Moderate
28,150000,11,4,246,emergency,hold,Aggressive
47,35000,3,3,286,wealth,hold,Moderate
26,50000,22,1,211,wealth,hold,Aggressive
22,5000,26,5,251,emergency,hold,Conservative
48,20000,1,1,319,education,buy-more,Moderate
54,75000,12,5,123,wealth,buy-more,Aggressive
58,20000,5,1,8,education,panic-sell,Conservative
58,20000,5,1,8,education,panic-sell,Conservative
50,5000,25,5,42,retirement,buy-more,Aggressive
22,35000,17,4,132,emergency,hold,Aggressive
33,5000,22,1,156,education,hold,Conservative
58,20000,5,1,8,education,panic-sell,Conservative
61,35000,25,4,249,emergency,hold,Conservative
27,20000,27,3,59,emergency,hold,Moderate
57,50000,9,3,276,retirement,buy-more,Conservative
25,20000,16,4,6,retirement,panic-sell,Moderate
49,5000,15,5,57,emergency,panic-sell,Conservative
46,200000,21,2,315,wealth,hold,Aggressive
44,150000,13,2,81,wealth,hold,Aggressive
55,10000,26,5,242,education,buy-more,Conservative
32,200000,26,5,345,wealth,panic-sell,Aggressive
38,10000,20,3,23,education,panic-sell,Moderate
22,200000,16,5,346,retirement,buy-more,Aggressive
49,100000,6,2,134,retirement,panic-sell,Aggressive
55,100000,26,1,193,education,buy-more,Conservative
36,5000,2,1,27,retirement,panic-sell,Conservative
29,75000,1,2,235,wealth,buy-more,Aggressive
54,75000,26,2,309,emergency,hold,Moderate
32,20000,17,5,342,wealth,buy-more,Aggressive
44,75000,10,1,100,emergency,panic-sell,Conservative
52,10000,18,3,101,wealth,hold,Moderate
44,75000,10,1,100,emergency,panic-sell,Conservative
47,50000,10,3,25,education,panic-sell,Moderate
33,50000,7,3,278,emergency,buy-more,Moderate
23,50000,21,5,196,wealth,buy-more,Aggressive
37,50000,26,2,289,wealth,hold,Aggressive
61,35000,24,1,155,retirement,panic-sell,Moderate
58,75000,2,5,92,education,buy-more,Moderate
45,50000,11,5,178,education,hold,Aggressive
50,100000,5,5,190,retirement,hold,Aggressive
47,35000,19,5,146,education,buy-more,Aggressive
46,10000,11,5,13,retirement,buy-more,Conservative
39,5000,2,2,196,emergency,panic-sell,Conservative
28,5000,22,2,192,wealth,hold,Aggressive
46,200000,27,2,315,education,buy-more,Moderate
26,35000,26,5,276,retirement,hold,Conservative
52,50000,4,5,251,wealth,hold,Aggressive
56,20000,11,3,204,wealth,buy-more,Aggressive
52,50000,4,5,251,wealth,hold,Aggressive
31,75000,21,4,285,wealth,hold,Aggressive
52,35000,1,4,343,emergency,hold,Moderate
44,35000,21,5,11,emergency,panic-sell,Moderate
59,10000,9,3,176,retirement,buy-more,Conservative
47,10000,6,4,331,retirement,hold,Moderate
37,10000,13,4,76,retirement,hold,Moderate
47,50000,29,5,220,retirement,panic-sell,Moderate
40,35000,11,4,147,emergency,buy-more,Aggressive
36,5000,2,1,27,retirement,panic-sell,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
27,35000,29,5,63,wealth,hold,Aggressive
34,150000,15,1,55,education,hold,Moderate
52,20000,17,5,168,wealth,hold,Aggressive
38,35000,17,3,230,education,buy-more,Conservative
58,20000,5,1,8,education,panic-sell,Conservative
41,35000,1,1,205,education,panic-sell,Moderate
55,200000,10,3,65,retirement,buy-more,Conservative
39,200000,22,3,328,education,buy-more,Aggressive
50,5000,25,5,42,retirement,buy-more,Aggressive
41,10000,2,5,78,retirement,buy-more,Moderate
31,50000,24,5,11,retirement,panic-sell,Moderate
51,50000,29,3,167,wealth,buy-more,Aggressive
41,35000,18,5,278,emergency,panic-sell,Moderate
43,5000,27,5,247,retirement,hold,Aggressive
55,100000,4,4,12,retirement,buy-more,Moderate
33,5000,22,1,156,education,hold,Conservative
51,75000,13,4,195,wealth,hold,Aggressive
30,50000,17,2,301,education,panic-sell,Moderate
41,200000,27,3,100,emergency,buy-more,Moderate
42,5000,16,2,185,retirement,buy-more,Moderate
45,150000,6,5,144,retirement,buy-more,Conservative
22,5000,26,5,251,emergency,hold,Conservative
50,200000,29,4,48,retirement,hold,Aggressive
23,50000,8,1,101,retirement,panic-sell,Conservative
26,35000,26,5,276,retirement,hold,Conservative
55,100000,27,3,141,education,hold,Moderate
30,150000,22,4,116,wealth,panic-sell,Aggressive
29,200000,18,1,205,wealth,hold,Aggressive
48,200000,19,5,64,retirement,hold,Aggressive
22,150000,14,4,357,education,panic-sell,Aggressive
61,35000,25,4,249,emergency,hold,Conservative
40,50000,5,5,94,retirement,buy-more,Aggressive
30,75000,27,3,222,education,panic-sell,Moderate
22,100000,20,3,97,education,buy-more,Aggressive
49,75000,13,3,342,emergency,hold,Moderate
42,150000,4,4,82,emergency,hold,Conservative
32,50000,10,4,313,emergency,panic-sell,Moderate
40,35000,11,4,147,emergency,buy-more,Aggressive
51,200000,9,1,110,wealth,hold,Moderate
53,100000,23,2,313,education,buy-more,Moderate
25,150000,7,4,110,retirement,buy-more,Aggressive
22,75000,3,5,92,wealth,panic-sell,Moderate
30,5000,12,4,214,wealth,buy-more,Aggressive
46,200000,21,2,315,wealth,hold,Aggressive
59,50000,9,1,193,emergency,panic-sell,Conservative
35,150000,7,4,95,retirement,hold,Conservative
25,35000,2,5,123,retirement,panic-sell,Moderate
42,10000,16,2,271,wealth,panic-sell,Conservative
35,10000,18,2,37,retirement,buy-more,Moderate
54,35000,25,4,113,emergency,panic-sell,Moderate
24,5000,27,2,163,emergency,buy-more,Moderate
30,20000,4,5,290,wealth,buy-more,Aggressive
59,10000,9,3,176,retirement,buy-more,Conservative
26,150000,21,1,68,emergency,buy-more,Moderate
43,35000,10,2,146,emergency,hold,Moderate
62,150000,16,4,193,retirement,hold,Aggressive
50,35000,13,2,261,retirement,panic-sell,Moderate
56,10000,27,4,189,wealth,buy-more,Aggressive
32,150000,27,3,299,emergency,panic-sell,Moderate
41,10000,18,3,265,wealth,hold,Aggressive
44,35000,3,2,92,wealth,buy-more,Moderate
62,50000,0,5,156,retirement,buy-more,Aggressive
35,150000,10,5,292,wealth,panic-sell,Aggressive
39,5000,2,2,196,emergency,panic-sell,Conservative
55,100000,6,5,217,education,hold,Aggressive
31,100000,1,4,353,emergency,panic-sell,Moderate
46,75000,5,1,192,emergency,panic-sell,Conservative
29,150000,5,4,123,emergency,panic-sell,Moderate
23,50000,8,1,101,retirement,panic-sell,Conservative
63,10000,20,5,333,retirement,buy-more,Aggressive
61,35000,25,4,249,emergency,hold,Conservative
49,20000,2,2,235,education,panic-sell,Conservative
50,75000,18,5,73,wealth,buy-more,Aggressive
30,150000,22,4,116,wealth,panic-sell,Aggressive
42,150000,4,4,82,emergency,hold,Conservative
48,10000,25,3,146,education,hold,Moderate
39,75000,28,2,104,education,panic-sell,Conservative
55,100000,26,1,193,education,buy-more,Conservative
56,150000,29,3,104,wealth,buy-more,Aggressive
49,5000,8,3,93,emergency,buy-more,Moderate
33,75000,0,5,293,education,buy-more,Aggressive
31,50000,26,1,323,emergency,buy-more,Moderate
24,35000,13,4,254,wealth,buy-more,Aggressive
34,100000,2,3,201,education,panic-sell,Moderate
57,200000,10,2,250,emergency,panic-sell,Moderate
54,50000,20,3,143,emergency,hold,Moderate
23,50000,2,5,180,emergency,hold,Moderate
46,10000,11,5,13,retirement,buy-more,Conservative
36,75000,17,4,182,retirement,buy-more,Aggressive
26,20000,27,3,117,retirement,panic-sell,Moderate
54,50000,19,4,349,wealth,buy-more,Aggressive
49,150000,15,4,195,retirement,panic-sell,Conservative
33,50000,19,2,334,emergency,buy-more,Moderate
36,5000,2,1,27,retirement,panic-sell,Conservative
50,5000,25,5,42,retirement,buy-more,Aggressive
54,200000,18,5,342,emergency,panic-sell,Moderate
56,10000,27,4,189,wealth,buy-more,Aggressive
59,10000,9,3,176,retirement,buy-more,Conservative
34,50000,11,5,290,wealth,hold,Aggressive
24,75000,2,5,266,wealth,buy-more,Aggressive
45,20000,5,4,338,wealth,buy-more,Aggressive
46,75000,5,1,192,emergency,panic-sell,Conservative
35,35000,16,5,51,retirement,buy-more,Aggressive
51,35000,4,1,283,emergency,buy-more,Moderate
58,35000,24,3,252,wealth,hold,Aggressive
33,35000,27,4,351,wealth,panic-sell,Aggressive
44,20000,28,3,222,wealth,hold,Aggressive
55,200000,10,3,65,retirement,buy-more,Conservative
47,50000,4,1,183,wealth,hold,Moderate
63,35000,1,5,326,emergency,buy-more,Moderate
32,20000,22,5,289,emergency,panic-sell,Moderate
27,75000,26,1,339,retirement,panic-sell,Moderate
35,150000,7,4,95,retirement,hold,Conservative
38,5000,10,1,100,retirement,buy-more,Moderate
54,35000,29,4,312,wealth,buy-more,Aggressive
53,35000,27,1,213,retirement,hold,Moderate
32,200000,22,5,44,emergency,hold,Aggressive
51,5000,21,3,62,education,hold,Conservative
61,10000,18,1,335,emergency,buy-more,Moderate
57,5000,16,1,254,emergency,panic-sell,Conservative
62,5000,27,4,347,wealth,hold,Aggressive
57,20000,18,1,151,wealth,hold,Moderate
50,20000,0,1,293,education,buy-more,Aggressive
39,5000,2,2,196,emergency,panic-sell,Conservative
57,200000,13,3,332,wealth,hold,Aggressive
52,150000,20,5,213,wealth,hold,Aggressive
53,5000,1,1,103,retirement,panic-sell,Conservative
45,10000,14,2,235,emergency,buy-more,Moderate
56,75000,27,1,136,wealth,hold,Moderate
36,75000,17,4,182,retirement,buy-more,Aggressive
24,20000,7,1,30,education,panic-sell,Conservative
29,10000,22,4,227,education,hold,Aggressive
46,5000,19,4,10,wealth,panic-sell,Moderate
36,75000,17,4,182,retirement,buy-more,Aggressive
55,10000,26,5,242,education,buy-more,Conservative
23,75000,29,4,104,education,panic-sell,Moderate
48,50000,23,3,148,emergency,buy-more,Moderate
33,5000,22,1,156,education,hold,Conservative
26,10000,23,3,69,wealth,panic-sell,Moderate
38,100000,23,5,114,education,panic-sell,Moderate
34,35000,23,4,238,wealth,hold,Aggressive
33,75000,13,1,50,education,buy-more,Moderate
60,75000,3,1,137,education,panic-sell,Conservative
33,5000,22,1,156,education,hold,Conservative
53,100000,20,2,106,education,panic-sell,Moderate
36,5000,2,1,27,retirement,panic-sell,Conservative
34,50000,11,5,290,wealth,hold,Aggressive
41,10000,1,4,121,emergency,panic-sell,Moderate
45,20000,5,4,338,wealth,buy-more,Aggressive
58,50000,7,5,256,wealth,hold,Aggressive
22,35000,11,4,327,education,buy-more,Aggressive
40,50000,7,1,268,wealth,hold,Moderate
35,150000,7,4,95,retirement,hold,Conservative
28,10000,5,2,287,wealth,panic-sell,Moderate
44,5000,24,5,354,retirement,hold,Aggressive
35,75000,6,5,184,wealth,buy-more,Aggressive
55,200000,10,3,65,retirement,buy-more,Conservative
37,20000,17,4,195,wealth,buy-more,Aggressive
28,35000,27,1,30,emergency,hold,Moderate
62,50000,4,1,320,emergency,panic-sell,Conservative
39,5000,2,2,196,emergency,panic-sell,Conservative
55,100000,26,1,193,education,buy-more,Conservative
48,150000,0,1,278,emergency,panic-sell,Conservative
49,5000,15,5,57,emergency,panic-sell,Conservative
37,150000,7,5,198,emergency,hold,Aggressive
46,10000,21,4,356,emergency,panic-sell,Moderate
33,100000,12,5,337,retirement,buy-more,Aggressive
22,5000,26,5,251,emergency,hold,Conservative
31,20000,27,2,76,retirement,panic-sell,Moderate
36,5000,11,5,82,emergency,hold,Conservative
32,10000,12,4,51,wealth,buy-more,Aggressive
57,5000,16,1,254,emergency,panic-sell,Conservative
58,10000,21,5,223,education,buy-more,Aggressive
49,50000,19,2,301,wealth,hold,Moderate
38,20000,23,2,251,emergency,hold,Moderate
26,75000,18,2,151,emergency,buy-more,Moderate
43,50000,0,3,202,emergency,panic-sell,Moderate
46,10000,11,5,13,retirement,buy-more,Conservative
43,5000,27,5,247,retirement,hold,Aggressive
24,75000,2,5,266,wealth,buy-more,Aggressive
26,100000,8,3,91,retirement,hold,Aggressive
22,5000,26,5,251,emergency,hold,Conservative
51,150000,24,3,61,retirement,panic-sell,Moderate
25,150000,7,4,110,retirement,buy-more,Aggressive
55,100000,26,1,193,education,buy-more,Conservative
28,150000,23,5,50,wealth,hold,Aggressive
49,5000,15,5,57,emergency,panic-sell,Conservative
30,5000,2,1,98,education,panic-sell,Conservative
58,20000,5,1,8,education,panic-sell,Conservative
43,150000,12,4,49,retirement,hold,Aggressive
22,150000,14,4,357,education,panic-sell,Aggressive
61,150000,10,5,309,emergency,buy-more,Aggressive
23,200000,12,4,56,retirement,hold,Aggressive
45,10000,27,1,27,emergency,panic-sell,Conservative
51,75000,29,4,193,wealth,panic-sell,Moderate
49,150000,7,1,52,retirement,hold,Moderate
47,200000,23,4,215,retirement,hold,Aggressive
26,75000,4,5,33,emergency,buy-more,Moderate
24,20000,28,4,81,retirement,panic-sell,Moderate
48,200000,26,3,187,wealth,hold,Aggressive
47,100000,1,3,82,wealth,buy-more,Moderate
24,20000,7,1,30,education,panic-sell,Conservative
54,20000,22,2,89,emergency,buy-more,Moderate
58,20000,5,1,8,education,panic-sell,Conservative
37,200000,26,2,141,education,buy-more,Aggressive
47,50000,20,5,303,education,hold,Aggressive
30,5000,14,4,132,education,hold,Moderate
44,20000,28,3,222,wealth,hold,Aggressive
49,20000,2,2,235,education,panic-sell,Conservative
54,10000,8,2,294,retirement,hold,Moderate
56,100000,11,1,291,wealth,panic-sell,Moderate
37,200000,2,1,70,emergency,panic-sell,Conservative
62,50000,4,1,320,emergency,panic-sell,Conservative
43,10000,4,1,42,emergency,panic-sell,Conservative
51,200000,8,4,159,wealth,hold,Aggressive
51,50000,8,5,165,emergency,panic-sell,Moderate
29,100000,18,2,134,retirement,panic-sell,Moderate
29,35000,9,5,91,retirement,hold,Aggressive
27,50000,7,4,111,retirement,panic-sell,Moderate
60,20000,20,2,307,retirement,buy-more,Moderate
41,10000,28,5,75,retirement,buy-more,Aggressive
57,5000,16,1,254,emergency,panic-sell,Conservative
44,75000,10,1,100,emergency,panic-sell,Conservative
27,50000,10,5,102,retirement,hold,Aggressive
25,75000,7,1,79,retirement,buy-more,Moderate
36,5000,2,1,27,retirement,panic-sell,Conservative
55,100000,26,1,193,education,buy-more,Conservative
60,150000,23,1,355,emergency,panic-sell,Moderate
43,10000,4,1,42,emergency,panic-sell,Conservative
32,200000,22,5,44,emergency,hold,Aggressive
49,200000,29,3,229,retirement,hold,Aggressive
24,20000,7,1,30,education,panic-sell,Conservative
48,5000,27,2,206,wealth,panic-sell,Moderate
45,75000,6,1,332,education,hold,Moderate
59,50000,9,1,193,emergency,panic-sell,Conservative
35,200000,22,5,84,wealth,buy-more,Aggressive
48,150000,0,1,278,emergency,panic-sell,Conservative
59,10000,25,4,151,wealth,buy-more,Aggressive
42,10000,16,2,271,wealth,panic-sell,Conservative
36,5000,2,1,27,retirement,panic-sell,Conservative
35,150000,7,4,95,retirement,hold,Conservative
47,5000,6,4,132,wealth,panic-sell,Moderate
55,100000,26,1,193,education,buy-more,Conservative
49,35000,28,1,249,education,panic-sell,Conservative
49,5000,15,5,57,emergency,panic-sell,Conservative
62,20000,26,3,48,wealth,buy-more,Moderate
54,10000,23,4,226,wealth,hold,Aggressive
48,200000,16,1,238,emergency,panic-sell,Moderate
24,75000,2,5,266,wealth,buy-more,Aggressive
36,5000,11,5,82,emergency,hold,Conservative
41,75000,24,5,296,education,buy-more,Aggressive
32,10000,5,2,127,education,hold,Moderate
47,5000,9,1,242,emergency,hold,Moderate
48,20000,13,1,50,wealth,hold,Moderate
58,20000,5,1,8,education,panic-sell,Conservative
36,5000,11,5,82,emergency,hold,Conservative
26,10000,28,3,113,retirement,buy-more,Aggressive
49,5000,15,5,57,emergency,panic-sell,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
45,10000,27,1,27,emergency,panic-sell,Conservative
62,50000,4,1,320,emergency,panic-sell,Conservative
38,100000,16,4,200,emergency,hold,Aggressive
44,35000,15,5,191,retirement,panic-sell,Aggressive
59,5000,24,2,51,emergency,buy-more,Moderate
35,35000,16,5,51,retirement,buy-more,Aggressive
22,10000,13,1,14,emergency,panic-sell,Conservative
36,5000,11,5,82,emergency,hold,Conservative
43,5000,27,5,247,retirement,hold,Aggressive
22,35000,14,3,10,education,hold,Moderate
34,20000,28,5,244,retirement,buy-more,Aggressive
51,10000,16,3,49,retirement,buy-more,Moderate
